exp,epoch_num,loss,train_corr,dev_corr
BASE,1,2.621711825147087,0.34419410466091743,0.3142757186951061
BASE,2,1.9810036111761022,0.42613871867007364,0.35410556550526767
BASE,3,1.8529087172614203,0.5161927707662579,0.3704118507407115
BASE,4,1.7008007941422638,0.6199073923359623,0.37786087476982333
BASE,5,1.549521037089972,0.6912897856419323,0.36144755295101766
BASE,6,1.3639334896464406,0.759671725121572,0.371781290478143
BASE,7,1.173341942422184,0.8259544749676959,0.36505842432084235
BASE,8,1.0004062130127425,0.8564558526631013,0.3492165537637656
BASE,9,0.8234201886771638,0.896748508469265,0.3551705848547251
BASE,10,0.6940588866486962,0.9105202116128824,0.35413246316778507
